Time(s),Temp(K)
0,130.195
1,129.899
2,129.307
3,129.013
4,128.426
5,128.134
6,127.551
7,127.262
8,126.685
9,126.398
10,125.827
11,125.543
12,124.978
13,124.696
14,124.135
15,123.856
16,123.3
17,123.023
18,122.476
19,122.209
20,121.675
21,121.41
22,120.882
23,120.618
24,120.094
25,119.833
26,119.313
27,119.055
28,118.54
29,118.283
30,117.772
31,117.519
32,117.007
33,116.755
34,116.254
35,116.004
36,115.507
37,115.258
38,114.766
39,114.521
40,114.032
41,113.789
42,113.304
43,113.062
44,112.581
45,112.341
46,111.864
47,111.627
48,111.154
49,110.918
50,110.449
51,110.215
52,109.752
53,109.522
54,109.069
55,108.844
56,108.396
57,108.173
58,107.729
59,107.508
60,107.07
61,106.85
62,106.415
63,106.198
64,105.766
65,105.337
66,105.123
67,104.697
68,104.484
69,104.061
70,103.85
71,103.432
72,103.223
73,102.808
74,102.601
75,102.19
76,101.986
77,101.58
78,101.378
79,100.975
80,100.774
81,100.375
82,100.177
83,99.782
84,99.5857
85,99.1943
86,99.0001
87,98.6135
88,98.4203
89,98.0366
90,97.8481
91,97.4719
92,97.2847
93,96.9124
94,96.7267
95,96.3586
96,96.1746
97,95.8089
98,95.6268
99,95.2646
100,95.084
101,94.7251
102,94.5463
103,94.1932
104,94.0149
105,93.6637
106,93.4885
107,93.1394
108,92.9654
109,92.6197
110,92.4479
111,92.1046
112,91.9342
113,91.5949
114,91.4267
115,91.0912
116,90.9251
117,90.5926
118,90.4274
119,90.0997
120,89.9362
121,89.6125
122,89.4505
123,89.1283
124,88.9685
125,88.6493
126,88.4901
127,88.1752
128,88.018
129,87.7064
130,87.5515
131,87.2427
132,87.0899
133,86.7853
134,86.6335
135,86.3322
136,86.1818
137,85.8826
138,85.7329
139,85.4359
140,85.2873
141,84.9939
142,84.8471
143,84.5562
144,84.4115
145,84.1236
146,83.9799
147,83.6936
148,83.5517
149,83.269
150,83.1286
151,82.8484
152,82.7094
153,82.4333
154,82.2956
155,82.0217
156,81.8851
157,81.6151
158,81.481
159,81.2122
160,81.0787
161,80.8134
162,80.6822
163,80.4206
164,80.2894
165,80.0295
166,79.9004
167,79.6432
168,79.515
169,79.2609
170,79.1349
171,78.8835
172,78.7586
173,78.5076
174,78.3847
175,78.1389
176,78.0156
177,77.772
178,77.651
179,77.4099
180,77.2874
181,77.0471
182,76.9277
183,76.6881
184,76.5706
185,76.3351
186,76.2189
187,75.9865
188,75.8703
189,75.6405
190,75.5255
191,75.2972
192,75.1849
193,74.9608
194,74.8485
195,74.6269
196,74.5176
197,74.2975
198,74.1892
199,73.9728
200,73.8655
201,73.652
202,73.4405
203,73.3352
204,73.1262
205,73.0232
206,72.8176
207,72.7144
208,72.5104
209,72.4093
210,72.2078
211,72.1071
212,71.908
213,71.8089
214,71.6126
215,71.5154
216,71.322
217,71.2256
218,71.0356
219,70.9411
220,70.7505
221,70.6557
222,70.4679
223,70.3757
224,70.1904
225,70.0984
226,69.916
227,69.8253
228,69.6444
229,69.5543
230,69.3762
231,69.2882
232,69.1126
233,69.0261
234,68.8551
235,68.7687
236,68.5986
237,68.5136
238,68.3459
239,68.2619
240,68.0955
241,68.0128
242,67.8468
243,67.7653
244,67.5976
245,67.516
246,67.3538
247,67.2728
248,67.1124
249,67.0323
250,66.8736
251,66.7945
252,66.6376
253,66.5599
254,66.4035
255,66.3251
256,66.1692
257,66.091
258,65.936
259,65.8589
260,65.7055
261,65.6292
262,65.4771
263,65.4016
264,65.2517
265,65.1775
266,65.0289
267,64.9553
268,64.8091
269,64.7361
270,64.5905
271,64.5182
272,64.3748
273,64.3033
274,64.1611
275,64.0902
276,63.9502
277,63.8807
278,63.7416
279,63.6722
280,63.5343
281,63.4662
282,63.3301
283,63.2622
284,63.1284
285,63.0618
286,62.9285
287,62.8616
288,62.7284
289,62.6622
290,62.5307
291,62.4656
292,62.3356
293,62.2713
294,62.1436
295,62.0799
296,61.954
297,61.8908
298,61.7646
299,61.7023
300,61.5781
301,61.5161
302,61.3931
303,61.3319
304,61.2095
305,61.1485
306,61.0282
307,60.969
308,60.8509
309,60.7923
310,60.6755
311,60.6175
312,60.5019
313,60.4441
314,60.3298
315,60.2727
316,60.1604
317,60.1042
318,59.9933
319,59.9369
320,59.8257
321,59.7702
322,59.659
323,59.6037
324,59.4947
325,59.4404
326,59.3334
327,59.2803
328,59.1756
329,59.1229
330,59.0181
331,58.9662
332,58.8624
333,58.8115
334,58.709
335,58.658
336,58.5575
337,58.5076
338,58.4085
339,58.3591
340,58.2617
341,58.2133
342,58.1166
343,58.069
344,57.9744
345,57.9278
346,57.8363
347,57.7902
348,57.699
349,57.6536
350,57.5637
351,57.5188
352,57.43
353,57.3857
354,57.297
355,57.2087
356,57.1641
357,57.0753
358,57.0308
359,56.9426
360,56.8991
361,56.8121
362,56.7694
363,56.6834
364,56.641
365,56.5569
366,56.515
367,56.4316
368,56.3905
369,56.3074
370,56.2668
371,56.1843
372,56.1428
373,56.0613
374,56.0207
375,55.9399
376,55.8997
377,55.8205
378,55.7811
379,55.7027
380,55.6639
381,55.5878
382,55.5498
383,55.4744
384,55.4366
385,55.361
386,55.3238
387,55.2494
388,55.2119
389,55.1373
390,55.1001
391,55.0278
392,54.9923
393,54.9208
394,54.8852
395,54.8152
396,54.7802
397,54.7114
398,54.6773
